,call_type,latitude,longitude
3,Alarms,37.790319303400004,-122.4231629068
4,Alarms,37.7773277635,-122.39308855969999
5,Alarms,37.7568901706,-122.4222293055
8,Alarms,37.8071199236,-122.41642787209999
45,Alarms,37.782992649099995,-122.3905285286
54,Alarms,37.7543628763,-122.4232160884
66,Alarms,37.790319303400004,-122.4231629068
76,Alarms,37.7469102275,-122.425823813
83,Alarms,37.7799116693,-122.4074744396
84,Alarms,37.7773277635,-122.39308855969999
87,Alarms,37.7469102275,-122.425823813
91,Alarms,37.787764099,-122.4099253284
93,Alarms,37.7842056749,-122.4076127318
106,Alarms,37.7799116693,-122.4074744396
120,Alarms,37.7799116693,-122.4074744396
126,Alarms,37.7841909048,-122.4101194835
137,Alarms,37.7543628763,-122.4232160884
143,Alarms,37.789354072100004,-122.40003235969999
148,Alarms,37.7825474,-122.41224793549999
149,Alarms,37.7872952929,-122.41580612870001
153,Alarms,37.7256933576,-122.45228966049999
178,Alarms,37.8071199236,-122.41642787209999
180,Alarms,37.7825474,-122.41224793549999
190,Alarms,37.7729924696,-122.47615790719999
191,Alarms,37.7842056749,-122.4076127318
193,Alarms,37.7741617053,-122.4891390036
196,Alarms,37.7469102275,-122.425823813
198,Alarms,37.783167663899995,-122.39782549530001
203,Alarms,37.7956912801,-122.4394237183
205,Alarms,37.7912932514,-122.3986146104
221,Alarms,37.7813778206,-122.4331620455
230,Alarms,37.7813778206,-122.4331620455
232,Alarms,37.7956912801,-122.4394237183
244,Alarms,37.788186040700005,-122.4059182162
256,Alarms,37.7872685413,-122.4001889317
257,Alarms,37.782992649099995,-122.3905285286
261,Alarms,37.7912932514,-122.3986146104
263,Alarms,37.7741617053,-122.4891390036
266,Alarms,37.7974647217,-122.4146678321
268,Alarms,37.7536695909,-122.4222784182
277,Alarms,37.7568901706,-122.4222293055
281,Alarms,37.7256933576,-122.45228966049999
286,Alarms,37.7799116693,-122.4074744396
301,Alarms,37.7912932514,-122.3986146104
309,Alarms,37.7699074186,-122.4291108855
339,Alarms,37.7501648383,-122.41283185549999
360,Alarms,37.770103826799996,-122.3910433961
