,call_type,latitude,longitude
6,Structure Fire,37.7833590027,-122.416694944
15,Structure Fire,37.7852173616,-122.4170696114
19,Structure Fire,37.7833590027,-122.416694944
32,Structure Fire,37.770259234,-122.4318322999
51,Structure Fire,37.7986027829,-122.42314860209999
58,Structure Fire,37.7986027829,-122.42314860209999
72,Structure Fire,37.774283836500004,-122.4670880868
75,Structure Fire,37.770259234,-122.4318322999
78,Structure Fire,37.770259234,-122.4318322999
100,Structure Fire,37.7904950228,-122.40235333700001
104,Structure Fire,37.774283836500004,-122.4670880868
108,Structure Fire,37.7986027829,-122.42314860209999
152,Structure Fire,37.7986027829,-122.42314860209999
171,Structure Fire,37.8076904932,-122.4123295588
174,Structure Fire,37.786409613800004,-122.40803623629999
177,Structure Fire,37.755998442,-122.4094330698
186,Structure Fire,37.7833590027,-122.416694944
202,Structure Fire,37.7904950228,-122.40235333700001
208,Structure Fire,37.755998442,-122.4094330698
226,Structure Fire,37.770259234,-122.4318322999
233,Structure Fire,37.8076904932,-122.4123295588
252,Structure Fire,37.8076904932,-122.4123295588
260,Structure Fire,37.7852173616,-122.4170696114
262,Structure Fire,37.774283836500004,-122.4670880868
267,Structure Fire,37.7833590027,-122.416694944
289,Structure Fire,37.7986027829,-122.42314860209999
292,Structure Fire,37.7852173616,-122.4170696114
293,Structure Fire,37.7904950228,-122.40235333700001
298,Structure Fire,37.7164595473,-122.4410195602
313,Structure Fire,37.7852173616,-122.4170696114
319,Structure Fire,37.755998442,-122.4094330698
330,Structure Fire,37.774283836500004,-122.4670880868
333,Structure Fire,37.755998442,-122.4094330698
350,Structure Fire,37.770259234,-122.4318322999
351,Structure Fire,37.7986027829,-122.42314860209999
364,Structure Fire,37.770259234,-122.4318322999
374,Structure Fire,37.770259234,-122.4318322999
380,Structure Fire,37.786409613800004,-122.40803623629999
382,Structure Fire,37.786409613800004,-122.40803623629999
389,Structure Fire,37.7904950228,-122.40235333700001
395,Structure Fire,37.786409613800004,-122.40803623629999
407,Structure Fire,37.755998442,-122.4094330698
421,Structure Fire,37.7852173616,-122.4170696114
426,Structure Fire,37.7904950228,-122.40235333700001
433,Structure Fire,37.7904950228,-122.40235333700001
434,Structure Fire,37.774283836500004,-122.4670880868
447,Structure Fire,37.7904950228,-122.40235333700001
456,Structure Fire,37.7852173616,-122.4170696114
463,Structure Fire,37.7887868949,-122.4270596733
472,Structure Fire,37.7833590027,-122.416694944
485,Structure Fire,37.770259234,-122.4318322999
488,Structure Fire,37.795312940900004,-122.3979747506
493,Structure Fire,37.7986027829,-122.42314860209999
494,Structure Fire,37.7833590027,-122.416694944
496,Structure Fire,37.7852173616,-122.4170696114
503,Structure Fire,37.7164595473,-122.4410195602
526,Structure Fire,37.774283836500004,-122.4670880868
527,Structure Fire,37.774283836500004,-122.4670880868
535,Structure Fire,37.7904950228,-122.40235333700001
546,Structure Fire,37.786409613800004,-122.40803623629999
561,Structure Fire,37.7852173616,-122.4170696114
567,Structure Fire,37.7904950228,-122.40235333700001
576,Structure Fire,37.7904950228,-122.40235333700001
587,Structure Fire,37.7986027829,-122.42314860209999
591,Structure Fire,37.7852173616,-122.4170696114
592,Structure Fire,37.774283836500004,-122.4670880868
596,Structure Fire,37.7986027829,-122.42314860209999
602,Structure Fire,37.7887868949,-122.4270596733
606,Structure Fire,37.786409613800004,-122.40803623629999
612,Structure Fire,37.770259234,-122.4318322999
620,Structure Fire,37.7833590027,-122.416694944
622,Structure Fire,37.7904950228,-122.40235333700001
630,Structure Fire,37.7752720593,-122.41590818120001
658,Structure Fire,37.755998442,-122.4094330698
659,Structure Fire,37.7752720593,-122.41590818120001
668,Structure Fire,37.7833590027,-122.416694944
674,Structure Fire,37.7606516284,-122.4132236774
706,Structure Fire,37.7833590027,-122.416694944
709,Structure Fire,37.755998442,-122.4094330698
712,Structure Fire,37.795312940900004,-122.3979747506
721,Structure Fire,37.786409613800004,-122.40803623629999
