,call_type,location
0,Medical Incident,"(37.77444199483868, -122.5046792231959)"
1,Medical Incident,"(37.774094856688166, -122.42000143696421)"
2,Medical Incident,"(37.75521795168784, -122.47554039050351)"
3,Alarms,"(37.79031930341935, -122.4231629067995)"
4,Alarms,"(37.77732776352611, -122.39308855968541)"
5,Alarms,"(37.756890170572206, -122.42222930549926)"
6,Structure Fire,"(37.783359002692066, -122.41669494404806)"
7,Traffic Collision,"(37.76924401107554, -122.40800720584919)"
8,Alarms,"(37.80711992362169, -122.41642787206773)"
9,Medical Incident,"(37.71214950882262, -122.41714122572772)"
10,Medical Incident,"(37.77883231587925, -122.41564248785478)"
11,Medical Incident,"(37.79709205269086, -122.39833314918091)"
12,Medical Incident,"(37.756096396025626, -122.42778335985659)"
13,Medical Incident,"(37.78079208027532, -122.40838574549893)"
14,Medical Incident,"(37.75223945497915, -122.41844527285122)"
15,Structure Fire,"(37.78521736163072, -122.41706961139498)"
16,Medical Incident,"(37.77952317116152, -122.41263929179321)"
17,Medical Incident,"(37.74817254773626, -122.45869503396155)"
18,Medical Incident,"(37.770054661455546, -122.44612843129843)"
19,Structure Fire,"(37.783359002692066, -122.41669494404806)"
20,Medical Incident,"(37.77779030942458, -122.41283433212864)"
21,Medical Incident,"(37.78066916324976, -122.40167804559798)"
22,Medical Incident,"(37.774092678704704, -122.44108442596955)"
23,Medical Incident,"(37.80282769816514, -122.41303433677871)"
24,Medical Incident,"(37.78626844171618, -122.41299723589641)"
25,Medical Incident,"(37.770273091358646, -122.4486050480563)"
26,Medical Incident,"(37.78191397441793, -122.41303219395635)"
27,Other,"(37.72229807127346, -122.41130309997389)"
28,Medical Incident,"(37.75962769270459, -122.41592301840338)"
29,Medical Incident,"(37.78186544733037, -122.41428534642068)"
30,Medical Incident,"(37.7793825808027, -122.41848437228396)"
31,Medical Incident,"(37.79154569048165, -122.42003660499316)"
32,Structure Fire,"(37.77025923403998, -122.43183229992738)"
33,Medical Incident,"(37.77319006012842, -122.41823697502534)"
34,Medical Incident,"(37.72094713025954, -122.45316541935485)"
35,Medical Incident,"(37.7849777439165, -122.45969762178187)"
36,Medical Incident,"(37.78894503632593, -122.42625226166518)"
37,Medical Incident,"(37.74226138328496, -122.42196474580885)"
38,Medical Incident,"(37.785743987790504, -122.40583101239245)"
39,Medical Incident,"(37.78326038612958, -122.4183661541803)"
40,Medical Incident,"(37.76759524279885, -122.43119112096323)"
41,Medical Incident,"(37.7969551635484, -122.39890821326146)"
42,Traffic Collision,"(37.75414576856218, -122.47861569326989)"
43,Traffic Collision,"(37.77578731465349, -122.39335512639906)"
44,Gas Leak (Natural and LP Gases),"(37.776849572629885, -122.42135124613577)"
45,Alarms,"(37.78299264907175, -122.39052852857169)"
46,Medical Incident,"(37.76272932013022, -122.42295842557121)"
47,Medical Incident,"(37.7817609081004, -122.41510513501424)"
48,Traffic Collision,"(37.764951660709535, -122.431937558766)"
49,Medical Incident,"(37.78548120464467, -122.42120351200009)"
50,Medical Incident,"(37.783567784008795, -122.41927343496383)"
51,Structure Fire,"(37.798602782885936, -122.4231486020576)"
52,Medical Incident,"(37.764951660709535, -122.431937558766)"
53,Medical Incident,"(37.757307610017534, -122.40661980269415)"
54,Alarms,"(37.75436287632656, -122.42321608842015)"
55,Medical Incident,"(37.79196280536014, -122.39324301440674)"
56,Medical Incident,"(37.79057825825789, -122.42068738311482)"
57,Medical Incident,"(37.77762423892872, -122.39998111124002)"
58,Structure Fire,"(37.798602782885936, -122.4231486020576)"
59,Medical Incident,"(37.752102370620584, -122.4406650464359)"
60,Medical Incident,"(37.78284503447399, -122.41322176673785)"
61,Medical Incident,"(37.78491618436334, -122.41195004222199)"
62,Medical Incident,"(37.782337590077724, -122.41389135199492)"
63,Medical Incident,"(37.78086621047984, -122.42880323800273)"
64,Medical Incident,"(37.77305345322805, -122.41861821745897)"
65,Medical Incident,"(37.78305496817075, -122.41157729927947)"
66,Alarms,"(37.79031930341935, -122.4231629067995)"
67,Medical Incident,"(37.764373209666395, -122.41747849146803)"
68,Medical Incident,"(37.787381979573674, -122.39647798117049)"
69,Medical Incident,"(37.78808218628792, -122.41005693094915)"
70,Medical Incident,"(37.787756620339685, -122.4130557133315)"
71,Medical Incident,"(37.7945266519311, -122.41136404551958)"
72,Structure Fire,"(37.77428383647135, -122.4670880867804)"
73,Medical Incident,"(37.76799244718762, -122.39439150739499)"
74,Medical Incident,"(37.78144749400219, -122.41714561341122)"
75,Structure Fire,"(37.77025923403998, -122.43183229992738)"
76,Alarms,"(37.746910227518626, -122.42582381299498)"
77,Medical Incident,"(37.77842247634187, -122.43340733529733)"
78,Structure Fire,"(37.77025923403998, -122.43183229992738)"
79,Medical Incident,"(37.781585403105, -122.42309018884136)"
80,Traffic Collision,"(37.72378784772754, -122.43644931451543)"
81,Medical Incident,"(37.73311383876522, -122.39441916044255)"
82,Medical Incident,"(37.78299264907175, -122.39052852857169)"
83,Alarms,"(37.77991166933496, -122.40747443962437)"
84,Alarms,"(37.77732776352611, -122.39308855968541)"
85,Medical Incident,"(37.78013037449471, -122.40987144993309)"
86,Medical Incident,"(37.78530743521714, -122.47424509706346)"
87,Alarms,"(37.746910227518626, -122.42582381299498)"
88,Medical Incident,"(37.78301940459197, -122.46389176570177)"
89,Medical Incident,"(37.74817254773626, -122.45869503396155)"
90,Medical Incident,"(37.78176159407453, -122.41105817541424)"
91,Alarms,"(37.787764099009586, -122.40992532841902)"
92,Medical Incident,"(37.80546354926792, -122.41441222700966)"
93,Alarms,"(37.784205674933816, -122.40761273180911)"
94,Medical Incident,"(37.774092678704704, -122.44108442596955)"
95,Medical Incident,"(37.778147833195746, -122.4862064058688)"
96,Medical Incident,"(37.77319006012842, -122.41823697502534)"
97,Medical Incident,"(37.781605127270446, -122.41633625179564)"
98,Medical Incident,"(37.789492499991205, -122.3901508693474)"
99,Medical Incident,"(37.77782815894851, -122.42492472683094)"
100,Structure Fire,"(37.79049502280937, -122.40235333697387)"
101,Medical Incident,"(37.745218915187536, -122.41748390405867)"
102,Medical Incident,"(37.77762423892872, -122.39998111124002)"
103,Medical Incident,"(37.7969551635484, -122.39890821326146)"
104,Structure Fire,"(37.77428383647135, -122.4670880867804)"
105,Medical Incident,"(37.76972086304567, -122.4179492178342)"
106,Alarms,"(37.77991166933496, -122.40747443962437)"
107,Medical Incident,"(37.78434553646269, -122.40778514612064)"
108,Structure Fire,"(37.798602782885936, -122.4231486020576)"
109,Medical Incident,"(37.780662104249124, -122.42289792441836)"
110,Medical Incident,"(37.786117211837905, -122.4198542456919)"
111,Medical Incident,"(37.75762172120293, -122.41888729306457)"
112,Medical Incident,"(37.77419656897696, -122.51003379090652)"
113,Medical Incident,"(37.7842993825154, -122.41014131985163)"
114,Medical Incident,"(37.78708178866631, -122.4258678201407)"
115,Medical Incident,"(37.789492499991205, -122.3901508693474)"
116,Medical Incident,"(37.786117211837905, -122.4198542456919)"
117,Traffic Collision,"(37.713475948479385, -122.43454112643933)"
118,Traffic Collision,"(37.791842089432954, -122.3949402384805)"
119,Medical Incident,"(37.78153450810039, -122.42813530750132)"
120,Alarms,"(37.77991166933496, -122.40747443962437)"
121,Medical Incident,"(37.77779030942458, -122.41283433212864)"
122,Medical Incident,"(37.745218915187536, -122.41748390405867)"
123,Medical Incident,"(37.78373004094003, -122.41375367048737)"
124,Outside Fire,"(37.760427452600105, -122.41096197255845)"
125,Medical Incident,"(37.764299340228824, -122.41855143598447)"
126,Alarms,"(37.78419090478878, -122.4101194834515)"
127,Medical Incident,"(37.77576369964081, -122.47575053644044)"
128,Medical Incident,"(37.79494605139675, -122.42915585307847)"
129,Gas Leak (Natural and LP Gases),"(37.76182764094747, -122.39833071781494)"
130,Gas Leak (Natural and LP Gases),"(37.76182764094747, -122.39833071781494)"
131,Medical Incident,"(37.785743987790504, -122.40583101239245)"
132,Medical Incident,"(37.732955634816, -122.38759080611722)"
133,Medical Incident,"(37.752197646564134, -122.39747771104071)"
134,Medical Incident,"(37.78300756554334, -122.44585848559531)"
135,Medical Incident,"(37.7748701729732, -122.39441707175159)"
136,Medical Incident,"(37.78600482662267, -122.39507725880982)"
137,Alarms,"(37.75436287632656, -122.42321608842015)"
138,Medical Incident,"(37.774094856688166, -122.42000143696421)"
139,Electrical Hazard,"(37.73605994518428, -122.49233186496883)"
140,Vehicle Fire,"(37.75124396447094, -122.42158533430495)"
141,Medical Incident,"(37.729301772384105, -122.39087677658321)"
142,Medical Incident,"(37.78300756554334, -122.44585848559531)"
143,Alarms,"(37.78935407210157, -122.40003235972134)"
144,Medical Incident,"(37.75828227319476, -122.49079820949153)"
145,Medical Incident,"(37.70911385546385, -122.4318301441864)"
146,Medical Incident,"(37.76272932013022, -122.42295842557121)"
147,Medical Incident,"(37.755841559212854, -122.40177993141847)"
148,Alarms,"(37.78254740004211, -122.41224793549479)"
149,Alarms,"(37.78729529285916, -122.41580612874544)"
150,Medical Incident,"(37.733029700948414, -122.43422633930807)"
151,Medical Incident,"(37.723359097821984, -122.40190248960839)"
152,Structure Fire,"(37.798602782885936, -122.4231486020576)"
153,Alarms,"(37.725693357570286, -122.45228966049211)"
154,Medical Incident,"(37.78383851800258, -122.41377551205974)"
155,Medical Incident,"(37.78775591804093, -122.4009753538184)"
156,Medical Incident,"(37.79920486146206, -122.44013246476491)"
157,Outside Fire,"(37.79983846415053, -122.42845680729546)"
158,Medical Incident,"(37.78013037449471, -122.40987144993309)"
159,Medical Incident,"(37.73654493835031, -122.4223235834008)"
160,Medical Incident,"(37.79916843486129, -122.41742828002336)"
161,Medical Incident,"(37.74089197608757, -122.46582902190718)"
162,Medical Incident,"(37.764299340228824, -122.41855143598447)"
163,Medical Incident,"(37.75995363466513, -122.43718355503545)"
164,Medical Incident,"(37.7807191768764, -122.41531561647088)"
165,Traffic Collision,"(37.7324386586756, -122.4056075491991)"
166,Medical Incident,"(37.78434553646269, -122.40778514612064)"
167,Medical Incident,"(37.780000998325214, -122.44165850530041)"
168,Medical Incident,"(37.78566436323491, -122.45975441838847)"
169,Traffic Collision,"(37.77578731465349, -122.39335512639906)"
170,Medical Incident,"(37.72581694529229, -122.40291697590666)"
171,Structure Fire,"(37.807690493216974, -122.4123295587982)"
172,Medical Incident,"(37.764373209666395, -122.41747849146803)"
173,Medical Incident,"(37.77883231587925, -122.41564248785478)"
174,Structure Fire,"(37.786409613771546, -122.4080362362708)"
175,Medical Incident,"(37.78191397441793, -122.41303219395635)"
176,Traffic Collision,"(37.72378784772754, -122.43644931451543)"
177,Structure Fire,"(37.75599844200711, -122.4094330697738)"
178,Alarms,"(37.80711992362169, -122.41642787206773)"
179,Medical Incident,"(37.7088536077159, -122.40510945513228)"
180,Alarms,"(37.78254740004211, -122.41224793549479)"
181,Medical Incident,"(37.74442749753182, -122.40869030683974)"
182,Medical Incident,"(37.787756620339685, -122.4130557133315)"
183,Medical Incident,"(37.775558161299166, -122.41865858351969)"
184,Medical Incident,"(37.786117211837905, -122.4198542456919)"
185,Gas Leak (Natural and LP Gases),"(37.75754535553596, -122.4730003389014)"
186,Structure Fire,"(37.783359002692066, -122.41669494404806)"
187,Medical Incident,"(37.775558161299166, -122.41865858351969)"
188,Traffic Collision,"(37.74801345071212, -122.42248736496548)"
189,Traffic Collision,"(37.713475948479385, -122.43454112643933)"
190,Alarms,"(37.77299246956491, -122.4761579072071)"
191,Alarms,"(37.784205674933816, -122.40761273180911)"
192,Citizen Assist / Service Call,"(37.77070869683492, -122.40771682068565)"
193,Alarms,"(37.774161705323955, -122.48913900355346)"
194,Citizen Assist / Service Call,"(37.75729278101006, -122.39577189706182)"
195,Medical Incident,"(37.754640937211946, -122.41860177948692)"
196,Alarms,"(37.746910227518626, -122.42582381299498)"
197,Medical Incident,"(37.77404134398838, -122.42318803216635)"
198,Alarms,"(37.78316766387155, -122.39782549526826)"
199,Fuel Spill,"(37.734868278105246, -122.41105196584624)"
200,Medical Incident,"(37.764236118944744, -122.41965984240802)"
201,Medical Incident,"(37.78326038612958, -122.4183661541803)"
202,Structure Fire,"(37.79049502280937, -122.40235333697387)"
203,Alarms,"(37.79569128009867, -122.43942371827863)"
204,Medical Incident,"(37.77782548433308, -122.47150318728755)"
205,Alarms,"(37.791293251400866, -122.39861461041114)"
206,Medical Incident,"(37.77953108466273, -122.41354254868111)"
207,Medical Incident,"(37.72581694529229, -122.40291697590666)"
208,Structure Fire,"(37.75599844200711, -122.4094330697738)"
209,Medical Incident,"(37.78594197069232, -122.40801273025853)"
210,Medical Incident,"(37.78186544733037, -122.41428534642068)"
211,Medical Incident,"(37.79353859586527, -122.39288914579751)"
212,Medical Incident,"(37.781473941559966, -122.42068958116036)"
213,Citizen Assist / Service Call,"(37.75255649200203, -122.45111404450628)"
214,Medical Incident,"(37.779861284945476, -122.3895906969512)"
215,Medical Incident,"(37.78895561109905, -122.4178258293637)"
216,Medical Incident,"(37.78086621047984, -122.42880323800273)"
217,Medical Incident,"(37.770242601902815, -122.4296382165039)"
218,Medical Incident,"(37.77576369964081, -122.47575053644044)"
219,Medical Incident,"(37.7969551635484, -122.39890821326146)"
220,Medical Incident,"(37.76213762660447, -122.4362418055204)"
221,Alarms,"(37.78137782059864, -122.4331620455216)"
222,Medical Incident,"(37.78186544733037, -122.41428534642068)"
223,Medical Incident,"(37.757307610017534, -122.40661980269415)"
224,Medical Incident,"(37.78003795236265, -122.48580757482127)"
225,Medical Incident,"(37.78511110817877, -122.41459203834333)"
226,Structure Fire,"(37.77025923403998, -122.43183229992738)"
227,Medical Incident,"(37.769075751764404, -122.42078863604631)"
228,Medical Incident,"(37.76310297616702, -122.4663146686432)"
229,Medical Incident,"(37.78186544733037, -122.41428534642068)"
230,Alarms,"(37.78137782059864, -122.4331620455216)"
231,Medical Incident,"(37.780971182391774, -122.40870867495441)"
232,Alarms,"(37.79569128009867, -122.43942371827863)"
233,Structure Fire,"(37.807690493216974, -122.4123295587982)"
234,Traffic Collision,"(37.76946254636965, -122.40621336461525)"
235,Medical Incident,"(37.77844604598122, -122.49959143493368)"
236,Medical Incident,"(37.77576369964081, -122.47575053644044)"
237,Medical Incident,"(37.75995363466513, -122.43718355503545)"
238,Medical Incident,"(37.75300403139247, -122.40633624058681)"
239,Medical Incident,"(37.78305200255851, -122.42001027025522)"
240,Medical Incident,"(37.781506366642944, -122.4079328682033)"
241,Medical Incident,"(37.779666042606245, -122.41371122073035)"
242,Medical Incident,"(37.74957408875021, -122.47622795053549)"
243,Medical Incident,"(37.7945266519311, -122.41136404551958)"
244,Alarms,"(37.78818604069484, -122.40591821618692)"
245,Medical Incident,"(37.75995363466513, -122.43718355503545)"
246,Medical Incident,"(37.788547296175764, -122.41437437070921)"
247,Medical Incident,"(37.78316342713403, -122.41159927893747)"
248,Medical Incident,"(37.77650803702329, -122.41445776463388)"
249,Medical Incident,"(37.732322103177594, -122.37838499224675)"
250,Medical Incident,"(37.77527142976678, -122.46601871222124)"
251,Medical Incident,"(37.77592613356383, -122.42457908237996)"
252,Structure Fire,"(37.807690493216974, -122.4123295587982)"
253,Medical Incident,"(37.77592613356383, -122.42457908237996)"
254,Medical Incident,"(37.770913337297436, -122.42030499432543)"
255,Medical Incident,"(37.77576369964081, -122.47575053644044)"
256,Alarms,"(37.787268541252395, -122.40018893168154)"
257,Alarms,"(37.78299264907175, -122.39052852857169)"
258,Medical Incident,"(37.77732160066612, -122.44911600290472)"
259,Medical Incident,"(37.74702848942446, -122.43151345536914)"
260,Structure Fire,"(37.78521736163072, -122.41706961139498)"
261,Alarms,"(37.791293251400866, -122.39861461041114)"
262,Structure Fire,"(37.77428383647135, -122.4670880867804)"
263,Alarms,"(37.774161705323955, -122.48913900355346)"
264,Medical Incident,"(37.764299340228824, -122.41855143598447)"
265,Traffic Collision,"(37.76946254636965, -122.40621336461525)"
266,Alarms,"(37.7974647217328, -122.41466783208467)"
267,Structure Fire,"(37.783359002692066, -122.41669494404806)"
268,Alarms,"(37.7536695909359, -122.42227841817838)"
269,Medical Incident,"(37.78191397441793, -122.41303219395635)"
270,Traffic Collision,"(37.775317308271404, -122.4277240466077)"
271,Medical Incident,"(37.79494605139675, -122.42915585307847)"
