,call_type,latitude,longitude
0,Medical Incident,37.7744419948,-122.5046792232
1,Medical Incident,37.7740948567,-122.42000143700001
2,Medical Incident,37.755217951700004,-122.47554039049999
9,Medical Incident,37.7121495088,-122.4171412257
10,Medical Incident,37.778832315900004,-122.41564248790002
11,Medical Incident,37.7970920527,-122.3983331492
12,Medical Incident,37.756096396,-122.4277833599
13,Medical Incident,37.7807920803,-122.4083857455
14,Medical Incident,37.752239455,-122.41844527290002
16,Medical Incident,37.7795231712,-122.4126392918
17,Medical Incident,37.7481725477,-122.458695034
18,Medical Incident,37.7700546615,-122.4461284313
20,Medical Incident,37.777790309400004,-122.41283433209999
21,Medical Incident,37.7806691632,-122.4016780456
22,Medical Incident,37.7740926787,-122.441084426
23,Medical Incident,37.802827698200005,-122.41303433680001
24,Medical Incident,37.7862684417,-122.41299723590001
25,Medical Incident,37.7702730914,-122.44860504809999
26,Medical Incident,37.7819139744,-122.413032194
28,Medical Incident,37.7596276927,-122.41592301840001
29,Medical Incident,37.7818654473,-122.41428534639999
30,Medical Incident,37.7793825808,-122.4184843723
31,Medical Incident,37.7915456905,-122.420036605
33,Medical Incident,37.7731900601,-122.418236975
34,Medical Incident,37.720947130300004,-122.45316541940001
35,Medical Incident,37.7849777439,-122.4596976218
36,Medical Incident,37.7889450363,-122.4262522617
37,Medical Incident,37.7422613833,-122.4219647458
38,Medical Incident,37.785743987800004,-122.4058310124
39,Medical Incident,37.783260386100004,-122.4183661542
40,Medical Incident,37.7675952428,-122.431191121
41,Medical Incident,37.7969551635,-122.3989082133
46,Medical Incident,37.7627293201,-122.4229584256
47,Medical Incident,37.7817609081,-122.415105135
49,Medical Incident,37.7854812046,-122.421203512
50,Medical Incident,37.783567784,-122.419273435
52,Medical Incident,37.7649516607,-122.43193755879999
53,Medical Incident,37.75730761,-122.4066198027
55,Medical Incident,37.7919628054,-122.3932430144
56,Medical Incident,37.7905782583,-122.42068738309999
57,Medical Incident,37.777624238899996,-122.3999811112
59,Medical Incident,37.7521023706,-122.4406650464
60,Medical Incident,37.7828450345,-122.4132217667
61,Medical Incident,37.784916184400004,-122.41195004219999
62,Medical Incident,37.7823375901,-122.41389135200001
63,Medical Incident,37.7808662105,-122.42880323799999
64,Medical Incident,37.7730534532,-122.4186182175
65,Medical Incident,37.7830549682,-122.4115772993
67,Medical Incident,37.7643732097,-122.41747849149999
68,Medical Incident,37.7873819796,-122.39647798120001
69,Medical Incident,37.7880821863,-122.410056931
70,Medical Incident,37.7877566203,-122.4130557133
71,Medical Incident,37.7945266519,-122.4113640455
73,Medical Incident,37.7679924472,-122.3943915074
74,Medical Incident,37.781447494,-122.4171456134
77,Medical Incident,37.7784224763,-122.4334073353
79,Medical Incident,37.7815854031,-122.42309018879999
81,Medical Incident,37.7331138388,-122.3944191604
82,Medical Incident,37.782992649099995,-122.3905285286
85,Medical Incident,37.7801303745,-122.4098714499
86,Medical Incident,37.7853074352,-122.4742450971
88,Medical Incident,37.7830194046,-122.4638917657
89,Medical Incident,37.7481725477,-122.458695034
90,Medical Incident,37.7817615941,-122.41105817540002
92,Medical Incident,37.8054635493,-122.41441222700001
94,Medical Incident,37.7740926787,-122.441084426
95,Medical Incident,37.7781478332,-122.4862064059
96,Medical Incident,37.7731900601,-122.418236975
97,Medical Incident,37.7816051273,-122.4163362518
98,Medical Incident,37.7894925,-122.3901508693
99,Medical Incident,37.7778281589,-122.4249247268
101,Medical Incident,37.7452189152,-122.4174839041
102,Medical Incident,37.777624238899996,-122.3999811112
103,Medical Incident,37.7969551635,-122.3989082133
105,Medical Incident,37.769720863,-122.4179492178
107,Medical Incident,37.7843455365,-122.40778514610001
109,Medical Incident,37.7806621042,-122.4228979244
110,Medical Incident,37.7861172118,-122.4198542457
111,Medical Incident,37.757621721199996,-122.4188872931
112,Medical Incident,37.774196569000004,-122.5100337909
113,Medical Incident,37.7842993825,-122.41014131989999
114,Medical Incident,37.7870817887,-122.4258678201
115,Medical Incident,37.7894925,-122.3901508693
116,Medical Incident,37.7861172118,-122.4198542457
119,Medical Incident,37.7815345081,-122.4281353075
121,Medical Incident,37.777790309400004,-122.41283433209999
