,call_type,unit_type,latitude,longitude
4999,Alarms,TRUCK,37.7862684417,-122.41299723590001
1515,Alarms,ENGINE,37.7828450345,-122.4132217667
1511,Alarms,ENGINE,37.7358508297,-122.5030619598
1509,Alarms,ENGINE,37.7842816169,-122.40461464719999
6063,Alarms,CHIEF,37.7358508297,-122.5030619598
8407,Alarms,ENGINE,37.7759935455,-122.4303873232
6059,Alarms,TRUCK,37.7734664897,-122.4135469042
1500,Alarms,TRUCK,37.7133177844,-122.4728758613
8413,Alarms,ENGINE,37.7843212349,-122.38904057370002
8419,Alarms,CHIEF,37.7904750362,-122.390556046
6077,Alarms,ENGINE,37.783789296900004,-122.4092663073
3753,Alarms,CHIEF,37.7878246694,-122.3970324365
6043,Alarms,ENGINE,37.7107646901,-122.39079280520001
8435,Alarms,TRUCK,37.7580927746,-122.41468474540001
1480,Alarms,TRUCK,37.7886352752,-122.4169903426
1474,Alarms,CHIEF,37.7738827775,-122.4427281702
8443,Alarms,TRUCK,37.763627228699995,-122.38972339
1462,Alarms,ENGINE,37.7918853863,-122.3933412235
8453,Alarms,TRUCK,37.728815567699996,-122.3803270134
1459,Alarms,MEDIC,37.7106489932,-122.4124688013
1456,Alarms,ENGINE,37.7886352752,-122.4169903426
1486,Alarms,TRUCK,37.7679576263,-122.40374766149999
3778,Alarms,ENGINE,37.718722285700004,-122.389118325
6079,Alarms,CHIEF,37.7925624699,-122.44048841450001
8378,Alarms,CHIEF,37.7887683286,-122.4084300062
8306,Alarms,CHIEF,37.776269506599995,-122.4172576051
8313,Alarms,TRUCK,37.7914523627,-122.4065433001
1589,Alarms,CHIEF,37.7133177844,-122.4728758613
3678,Alarms,TRUCK,37.783167663899995,-122.39782549530001
8320,Alarms,ENGINE,37.7527125371,-122.4095929121
8326,Alarms,CHIEF,37.7863072236,-122.4052948452
8327,Alarms,CHIEF,37.7880205485,-122.42606156129999
1578,Alarms,CHIEF,37.7190118677,-122.48045074950001
1574,Alarms,ENGINE,37.7890011524,-122.4011429398
3723,Alarms,TRUCK,37.783260386100004,-122.4183661542
1571,Alarms,CHIEF,37.7106489932,-122.4124688013
3696,Alarms,CHIEF,37.784807388699996,-122.4136154383
1561,Alarms,ENGINE,37.7738827775,-122.4427281702
6106,Alarms,ENGINE,37.778154438499996,-122.446874815
8347,Alarms,CHIEF,37.792515445999996,-122.40919800260001
1548,Alarms,CHIEF,37.7358508297,-122.5030619598
