,call_type,unit_type,latitude,longitude
6809,Citizen Assist / Service Call,ENGINE,37.7512099942,-122.48156698790001
5761,Citizen Assist / Service Call,MEDIC,37.7459562954,-122.4542399076
4007,Citizen Assist / Service Call,ENGINE,37.777083464200004,-122.4169793264
5005,Citizen Assist / Service Call,ENGINE,37.7709582807,-122.4683009682
7381,Citizen Assist / Service Call,MEDIC,37.7860048266,-122.39507725879999
6776,Citizen Assist / Service Call,RESCUE CAPTAIN,37.7860048266,-122.39507725879999
2475,Citizen Assist / Service Call,TRUCK,37.7626979329,-122.43254185629999
9344,Citizen Assist / Service Call,ENGINE,37.7122827505,-122.4065285994
5823,Citizen Assist / Service Call,TRUCK,37.7808662106,-122.42880323799999
5383,Citizen Assist / Service Call,TRUCK,37.7773617027,-122.4102630514
5833,Citizen Assist / Service Call,TRUCK,37.808263316,-122.41497254209999
2524,Citizen Assist / Service Call,TRUCK,37.748237394,-122.4091747167
8769,Citizen Assist / Service Call,TRUCK,37.7842993825,-122.41014131989999
4992,Citizen Assist / Service Call,ENGINE,37.7144993922,-122.4827664757
3962,Citizen Assist / Service Call,ENGINE,37.771396032800006,-122.5098947488
2530,Citizen Assist / Service Call,TRUCK,37.735340661100004,-122.4836929674
5811,Citizen Assist / Service Call,TRUCK,37.7679269322,-122.4482697342
779,Citizen Assist / Service Call,TRUCK,37.755083027800005,-122.4112653556
8629,Citizen Assist / Service Call,ENGINE,37.774343929400004,-122.5068202582
5246,Citizen Assist / Service Call,ENGINE,37.7459562954,-122.4542399076
7743,Citizen Assist / Service Call,ENGINE,37.7815374331,-122.40951834139999
9510,Citizen Assist / Service Call,TRUCK,37.7831634271,-122.4115992789
8238,Citizen Assist / Service Call,MEDIC,37.7890446855,-122.4245911001
8235,Citizen Assist / Service Call,TRUCK,37.7815374331,-122.40951834139999
4526,Citizen Assist / Service Call,TRUCK,37.7856317811,-122.4137826125
1720,Citizen Assist / Service Call,MEDIC,37.757351577899996,-122.4511600389
435,Citizen Assist / Service Call,TRUCK,37.781199994,-122.4303648882
7792,Citizen Assist / Service Call,TRUCK,37.7659143603,-122.42779991360001
5224,Citizen Assist / Service Call,ENGINE,37.808263316,-122.41497254209999
9553,Citizen Assist / Service Call,ENGINE,37.789652953499996,-122.4047924981
4655,Citizen Assist / Service Call,CHIEF,37.756330274899994,-122.39556536010001
6534,Citizen Assist / Service Call,ENGINE,37.7790893832,-122.431925839
1761,Citizen Assist / Service Call,TRUCK,37.7865648263,-122.42240333379999
7838,Citizen Assist / Service Call,TRUCK,37.7890446855,-122.4245911001
4562,Citizen Assist / Service Call,ENGINE,37.756330274899994,-122.39556536010001
4573,Citizen Assist / Service Call,ENGINE,37.7233590978,-122.40190248959999
9680,Citizen Assist / Service Call,TRUCK,37.7866790146,-122.4139950345
8051,Citizen Assist / Service Call,TRUCK,37.7856317811,-122.4137826125
6307,Citizen Assist / Service Call,TRUCK,37.7481000417,-122.4270151458
5133,Citizen Assist / Service Call,TRUCK,37.7880275511,-122.447804474
1905,Citizen Assist / Service Call,ENGINE,37.7363605458,-122.44978800049999
3429,Citizen Assist / Service Call,ENGINE,37.7818654473,-122.41428534639999
1916,Citizen Assist / Service Call,ENGINE,37.757351577899996,-122.4511600389
3452,Citizen Assist / Service Call,PRIVATE,37.777083464200004,-122.4169793264
7963,Citizen Assist / Service Call,TRUCK,37.7791823933,-122.4097939395
3557,Citizen Assist / Service Call,TRUCK,37.781334057399995,-122.399027495
6537,Citizen Assist / Service Call,ENGINE,37.7785448312,-122.49745402559999
3660,Citizen Assist / Service Call,ENGINE,37.749140796599995,-122.44206287680001
2189,Citizen Assist / Service Call,ENGINE,37.7865648263,-122.42240333379999
1297,Citizen Assist / Service Call,ENGINE,37.7963703833,-122.41935639100001
1311,Citizen Assist / Service Call,MEDIC,37.7939455886,-122.4154347138
5338,Citizen Assist / Service Call,TRUCK,37.7261532099,-122.4374330494
4435,Citizen Assist / Service Call,TRUCK,37.784807388699996,-122.4136154383
2393,Citizen Assist / Service Call,ENGINE,37.757351577899996,-122.4511600389
6696,Citizen Assist / Service Call,TRUCK,37.755365729699996,-122.41985794280001
6694,Citizen Assist / Service Call,TRUCK,37.7512099942,-122.48156698790001
4735,Citizen Assist / Service Call,MEDIC,37.7709582807,-122.4683009682
9411,Citizen Assist / Service Call,TRUCK,37.7630308712,-122.42622847969999
1373,Citizen Assist / Service Call,ENGINE,37.7621357066,-122.4216894269
7518,Citizen Assist / Service Call,ENGINE,37.7856317811,-122.4137826125
5969,Citizen Assist / Service Call,TRUCK,37.7856317811,-122.4137826125
192,Citizen Assist / Service Call,ENGINE,37.7707086968,-122.4077168207
2342,Citizen Assist / Service Call,ENGINE,37.805667448899996,-122.41276637120001
194,Citizen Assist / Service Call,ENGINE,37.757292781,-122.39577189709999
2817,Citizen Assist / Service Call,ENGINE,37.7894788173,-122.4145611332
7552,Citizen Assist / Service Call,TRUCK,37.745549949099996,-122.435766816
1466,Citizen Assist / Service Call,TRUCK,37.7825474,-122.41224793549999
213,Citizen Assist / Service Call,TRUCK,37.752556492,-122.4511140445
5286,Citizen Assist / Service Call,ENGINE,37.758538181999995,-122.46378152700001
6064,Citizen Assist / Service Call,TRUCK,37.758486303699996,-122.4223853835
8394,Citizen Assist / Service Call,TRUCK,37.7120880839,-122.4208657367
7618,Citizen Assist / Service Call,ENGINE,37.7818654473,-122.41428534639999
7660,Citizen Assist / Service Call,TRUCK,37.7910926841,-122.40850746139999
1572,Citizen Assist / Service Call,ENGINE,37.7113842185,-122.451205095
6120,Citizen Assist / Service Call,ENGINE,37.7547688765,-122.5081803578
9731,Citizen Assist / Service Call,TRUCK,37.7481000417,-122.4270151458
1267,Citizen Assist / Service Call,ENGINE,37.7939455886,-122.4154347138
2251,Citizen Assist / Service Call,PRIVATE,37.805667448899996,-122.41276637120001
1945,Citizen Assist / Service Call,TRUCK,37.7266474787,-122.39386696209999
7076,Citizen Assist / Service Call,ENGINE,37.754564212300004,-122.4064804592
2769,Citizen Assist / Service Call,TRUCK,37.7191290044,-122.45823920870001
2653,Citizen Assist / Service Call,ENGINE,37.7900741941,-122.43569277299999
4205,Citizen Assist / Service Call,TRUCK,37.7938519288,-122.4095410497
7014,Citizen Assist / Service Call,ENGINE,37.7810598441,-122.434783738
8967,Citizen Assist / Service Call,TRUCK,37.7668455692,-122.42999958989999
5518,Citizen Assist / Service Call,MEDIC,37.7261532099,-122.4374330494
1028,Citizen Assist / Service Call,MEDIC,37.7621357066,-122.4216894269
940,Citizen Assist / Service Call,ENGINE,37.7867215798,-122.46361794200001
9101,Citizen Assist / Service Call,ENGINE,37.7843964931,-122.41690045989999
5580,Citizen Assist / Service Call,TRUCK,37.7731448012,-122.3914729341
7099,Citizen Assist / Service Call,ENGINE,37.7798119295,-122.43375856969999
2617,Citizen Assist / Service Call,TRUCK,37.7535461761,-122.39721183639999
2689,Citizen Assist / Service Call,TRUCK,37.831562091900004,-122.3733302221
7234,Citizen Assist / Service Call,TRUCK,37.7860048266,-122.39507725879999
9016,Citizen Assist / Service Call,ENGINE,37.7767905851,-122.4942408331
